genes	HGMD_inheritance	OMIM_inheritance	GeneCC_inheritance
AMTN		AD	AD
AN2		AD	
AN3		AD	
ANALBA		AR;AR,AD	
ANAPC1		AR	AR
ANAPC7		AR	
ANC		AD	
ANCHR		AR	
ANCO1		AD	
ANCR		AD	
ANDD		AR	
ANE1		AD	
ANES		AR	
ANG1		AD	
ANG2		AD;AR	
ANGPT1		AD	AD
ANGPT2		AD	
ANGPT5		AR	
ANH1		XL;XLR	
ANHD		AR	
ANIB1		AD	
ANIB12		AD;AR	
ANIB3		AD	
ANIC		AD	
ANK		AD	
ANK3		AR	AD;AR
ANKLE2		AR	AR
ANKRD17		AD	
ANKRD25		AR	
ANKS6		AR	AR
ANKTM1		AD	
ANLN		AD	AD
ANM		AR	
ANO1		AR	
ANOA		AR	
ANOP2		XLD	
ANOVA		AD	
ANP		AD;AR	
ANPH1		AR	
ANPH2		AR	
ANPRB		AD;AR	
ANPRC		AR	
ANT1		AD;AR	
ANX11		AD	
ANXA11		AD	AD
ANXA5		AD	
ANXD2		AR	
ANXD3		AR	
AOA		AR	
AOA1		AR	
AOA2		AD;AR	
AOA4		AR	
AOF2		AD	
AOFMD		AD;AR,AD;AR,Digenic dominant,AD	
AOI		AD;AR	
AOMS1		AD	
AOMS2		AD	
AOMS3		AD	
AOMS4		AD	
AOP1		AD;AR	
AOPEP		AR	
AORF		AD	
AOS1		AD	
AOS2		AR	
AOS3		AD	
AOS4		AR	
AOS5		AD	
AOS6		AD	
AOVD1		AD	
AOVD2		AD	
AOVD3		AD	
AP162		AD;AR	
AP17		AD	
AP19		AR	
AP1B1		AR	AR
AP1G1		AD	
AP1S1		AR	AR
AP1S3		AD	AD;AR
AP2M1		AD	AD
AP2S1		AD	AD
AP2TF		AD	
AP3B2		AR	AD
AP3D1		AR	AR
APAH1		AR	
APBD		AR	
APC1		AR	
APC2		AR	AD;AR
APC7		AR	
APCDD1		AD	AD
APCL		AR	
APDS		AD;AR;Digenic recessive	
APE		AR	
APECED		AR,AD	
APEG1		AR	
APG5		AR	
APG5L		AR	
APG7L		AR	
APHC		AR	
API3		XLR	
APLAID		AD	
APMR1		AR	
APMR2		AR	
APMR3		AR	
APMR4		AR	
APNH		AR	
APOA1BP		AR	
APOGCDS		AD	
APOL2		AD	AD
APOL4		AD	
APOLLO		AR	
APOLMT		AR,AD	
APOP		AR	
APOPT1		AR	
APP3		AR	
APPBP1		AR	
APPL		AD	
APPL1		AD	AD
APRF		AD	
APRTD		AR	
APS1		AR,AD	
APT1		AD	
APT1LG1		AD;AD,Somatic mutation	
APUG		AR	
AQDQ		AR	
AQP0		AD	
AQP5		AD	AD
AQP7		AR	
AR1		AD	
ARA		AD;AR	
ARA267		AD	
ARA9		AD,Somatic mutation	
ARALAR		AR	
ARB		AD	
ARC		AD	
ARC20		AD	
ARC41		AR	
ARC92		AR	
ARCA2		AR	
ARCC2		AD	
ARCI1		AR	
ARCI10		AR	
ARCI11		AR	
ARCI12		AR	
ARCI13		AR	
ARCI14		AR	
ARCI2		AR	
ARCI3		AR	
ARCI4A		AR	
ARCI4B		AR	
ARCI5		AR	
ARCI6		AR	
ARCI7		AR	
ARCI8		AR	
ARCI9		AR	
ARCL1A		AD;AR	
ARCL1B		AR	
ARCL1C		AR	
ARCL2A		AR	
ARCL2B		AR	
ARCL2C		AR	
ARCL2D		AD;AR	
ARCL2E		AR	
ARCL3A		AD;AR	
ARCL3B		AR	
ARCN1		AD	AD
ARCND1		AD	
ARCND2		AR,AD	
ARCND3		AD;AR	
ARD1		XL;XLD,XLR	
ARD1A		XL;XLD,XLR	
AREI		AR	
ARF1		AD	AD
ARFGEF1		AD	
ARFGEP1		AD	
ARFL3		AD;AR	
ARGP1		AR	
ARH		AR	
ARH3		AR	
ARHGAP2		AD	
ARHGAP31		AD	AD
ARHGDIA		AR	AD;AR
ARHGEF1		AR	AR
ARHGEF18		AR	AD;AR
ARHGEF2		AR	
ARHH		AR	
ARHP		AR	
ARHR		AR	
ARHR2		AD;AR;AR,AD,Multifactorial	
ARID2		AD	AD
ARIX		AR	
ARK1		AD,Somatic mutation	
ARL2		AD	AD
ARL2L1		AR	
ARL3		AD;AR	AD;AR
ARL6IP1		AR	AR
ARLIAK		AR	
ARMC2		AR	AR
ARMC4		AR	
ARMD1		AD	
ARMD11		AD	
ARMD13		AD;AR	
ARMD14		AD;AR;Digenic dominant	
ARMD15		AD	
ARMD2		AD;AR	
ARMD3		AD;AR	
ARMD4		AD;AR,AD	
ARMD5		AD;AD,Somatic mutation;AR	
ARMD6		AD;AR	
ARMD7		AD;AR	
ARMD9		AD;AR	
ARMS		AD;AR	
ARNT2		AR	AD;AR
ARO		AD	
ARP1		AD	
ARPC1B		AR	AR
ARPC4		AD	
ARPKD		AR	
ARR3		XL	XL
ARS		AR	
ARSA1		AR	
ARSACS		AR	
ARSC		XLR	
ARSC1		XLR	
ARSG		AR	AR
ARSK		AR	
ART		AR,AD,Multifactorial	
ARTEMIS		AR	
ARTHS		AD	
ARVC10		AD;AR	
ARVC2		AD	
ARVC5		AD	
ARVD1		AD	
ARVD10		AD;AR	
ARVD11		AR,AD	
ARVD12		AD;AR	
ARVD13		AD	
ARVD14		AD;AR	
ARVD3		AD	
ARVD4		AD	
ARVD5		AD	
ARVD9		AD	
ARWH1		AR	
ARWH2		AR	
ARWH3		AR	
ASAM		AR	
ASAT		XLR	
ASB		XL;XLR	
ASC1		AR	
ASCC1		AR	AR
ASCC3L1		AD	
ASCT1		AR	
ASD1		AD	
ASD2		AD	
ASD3		AD	
ASD5		AD	
ASD6		AD	
ASD8		AD	
ASD9		AD	
ASGD1		AD;AR,AD	
ASGD2		AD;AR	
ASGD3		AD	
ASGD4		AD	
ASGD5		AD	
ASGD6		AR	
ASGD7		AR	
ASGD8		AR	
ASH1		AD	
ASH1L		AD	AD
ASL13		AD;Multifactorial,AD	
ASMA		AD;AR	
ASMD		AD;AR	
ASNA1		AR	
ASNRS		AD;AR	
ASNSD		AR	
ASP		AR	
ASPG1		Multifactorial,Isolated cases	
ASPG2		Multifactorial,Isolated cases	
ASPH		AR	AR
ASPN		AD	
ASPRS.LBSL		AR	
ASPRV1		AD	AD
ASPS		AD	
ASRT7		AD	
ASS		AR	
ASTL		AR	
ASV		AD	
ASXL2		AD	AD
AT		XLR	
AT1		AD;AD,Somatic mutation;AR	
AT2R1		AR;Multifactorial	
AT3		AR,AD	
AT3D		AR,AD	
ATA		AD,Somatic mutation;AR	
ATAD1		AR	AD;AR
ATCS		AR	
ATD1		AR	
ATD2		AR	
ATD3		AR,Digenic recessive	
ATD4		AR;AR,AD	
ATD5		AR	
ATELS1		AR	
ATELS2		AR	
ATFB1		AD	
ATFB11		AD	
ATFB12		AD;AR	
ATFB13		AD;AR	
ATFB14		AD	
ATFB15		AR	
ATFB16		AD	
ATFB17		AD	
ATFB3		AD;AR	
ATFB4		AD	
ATFB6		AD;AR	
ATFB7		AD	
ATFB9		AD	
ATG5		AR	AR
ATG7		AR	AR
ATGL		AR	
ATH1		AD	
ATHS		AD	
ATITHS		AD	
ATL3		AD	AD
ATLD		AR	
ATLD2		AR	
ATN		AD;AR	
ATOD1		AD	
ATOD2		AR,AD	
ATOH1		AD	
ATOH5		AR	
ATOH7		AR	AD;AR
ATORS		AR	
ATP11A		AD	
ATP11C		XLR	
ATP12		AR	
ATP1A1		AD	AD
ATP1B1		Multifactorial	
ATP1G1		AD	
ATP2B		AD	
ATP2B1		AD	
ATP2B3		XLR	XL
ATP5A		AR	
ATP5A1		AR	
ATP5B		AD	
ATP5D		AR	
ATP5E		AR	
ATP5F1A		AR	AR
ATP5F1B		AD	
ATP5F1D		AR	AR
ATP5F1E		AR	AR
ATP5G3		AD	
ATP5MC3		AD	
ATP5MD		AR	
ATP5MK		AR	
ATP6B1		AR	
ATP6B2		AD	
ATP6E		AR	
ATP6IP1		XLR	
ATP6M8-9		XLR	
ATP6N1A		AD;AR	
ATP6N1B		AR	
ATP6S1		XLR	
ATP6V0A1		AD;AR	AD
ATP6V1A		AD;AR	AD;AR
ATP6V1B2		AD	AD;AR
ATP6V1E1		AR	AR
ATP9A		AR	
ATPIB		AR	
ATPIG		XLR	
ATPIH		AD	
ATPIQ		XLR	
ATPIS		AD	
ATPLS		AD	
ATPM		AR	
ATPSB		AD	
ATPSK2		AR	
ATQ1		AR	
ATR1		AD;AR,AD	
ATRST2		AD;AR	
ATS1		XLD	
ATS2		AD;AR	
ATS3		AD;AR	
ATSV		AD;AR;AR,AD	
ATX1		AD	
ATX2		AD;Multifactorial,AD	
ATXPC		AD	
AU		AR	
AUKS		AD	
AUNA1		AD	
AUNA3		AD	
AUNB1		AR	
AURKA		AD,Somatic mutation	AD
AURKC		AR	AR
AURORA2		AD,Somatic mutation	
AUTS1		Multifactorial,Isolated cases	
AUTS15		AR	
AUTS3		Multifactorial,Isolated cases	
AUTS4		AD	
AUTS8		Multifactorial,Isolated cases	
AUTSX1		XL	
AUTSX2		XL	
AUTSX3		XL;XLD;XLR	
AUTSX4		XLR	
AUTSX5		XLR	
AUTSX6		XLR	
AVED		AR	
AVMD		AD;AR,AD;AR,Digenic dominant,AD	
AVRP		AD	
AVSD2		AD	
AVSD3		AD;AR	
AVSD5		AD	
AXPC1		AR	
AYGRP		AD	
AYP1		AR	
B120		AD	
B12QTL1		AR	
B17.2L		AR	
B29		AR	
B3GALTL		AR	
B3GNT1		AR	
B3GTL		AR	
B4GAT1		AR	AR
B5R		AR	
B9D1		AR	AR
BA2R		XLR	
BAAT1		AR	
BABL		AD	
BABS		AD	
BACD1		AR	
BACH1		AD,Somatic mutation	
BACH2		AD	AD
BAF		AR	
BAF155		AD	
BAF170		AD	
BAF200		AD	
BAF250B		AD	
BAF53B		AD;AR	
BAF57		AD	
BAF60A		AD	
BAF60B		AR	
BAFFR		AR	
BAG5		AR	
BAGOS		AD	
BAIBA		AR	
BAIDCS		AD	
BAIPRCK		AR	
BAM		AD	
BAM22		AR	
BAMLAZ		AD;AR	
BAMS		AD;Digenic dominant	
BANDDOS		AD;AR	
BAP		AR	
BAP31		XLR	
BAPS		AD;AR,Digenic dominant	
BAPX1		AR	
BARMACS		AR	
BART		AR	
BARTS5		XLR	
BASNS		AD	
BAT5		AR	
BB1		AR	
BBC1		AD	
BBDS		AD	
BBDS2		AR	
BBGD		AR	
BBIP1		AR	AR
BBIP10		AR	
BBIS		AR	
BBOX2		XLR	
BBRSAY		AD;AR	
BBS11		AR	
BBS13		AR	
BBS14		AR	
BBS15		AR	
BBS16		AR	
BBS17		AR	
BBS18		AR	
BBS19		AR	
BBS20		AR	
BBS21		AR	
BBS22		AR	
BBS3		AR;AR,Digenic recessive	
BBS6		AR	
BBS8		AR	
BBSOAS		AD	
BCAHH		AD	
BCAP31		XLR	AR;XL
BCAS3		AR	
BCAT2		AR	AR
BCATE2		AR	
BCC7		AD;AD,Somatic mutation;Somatic mutation	
BCD		AR	
BCDO		AD	
BCDS1		AD;AD,Somatic mutation	
BCDS2		AD	
BCHED		AR	
BCHS		AD	
BCIE		AD;AR,AD	
BCL1		AD;AD,Somatic mutation;Somatic mutation	
BCL10		AR	
BCL11B		AD	AD
BCMO1		AD	
BCNG1		AD	
BCNG2		AD	
BCNS		AD	
BCO1		AD	AD
BCORL1		XLR	AD;XL
BCP		AD	
BCPM		AD	
BCRP		?AD	
BCS1		AR	
BCS2		AR	
BCT2		AR	
BCYM3		AD	
BCYM4		AR	
BDA1		AD;AR	
BDA1B		AD	
BDA1C		AD;AR;AR,AD	
BDA1D		AD;AR	
BDA2		AD;AR	
BDB		AD;AR	
BDB1		AD;AR	
BDE2		AD	
BDMR		AD	
BDP1		AR	AR
BDPLT1		AD;AR	
BDPLT10		AR	
BDPLT11		AR	
BDPLT13		AD	
BDPLT14		AD	
BDPLT15		AD	
BDPLT16		AD;AR	
BDPLT17		AR,AD	
BDPLT19		AR	
BDPLT2		AD;AR	
BDPLT20		AD	
BDPLT21		AR,AD	
BDPLT22		AR	
BDPLT24		AR	
BDPLT3		AD;AR	
BDPLT4		AR	
BDPLT5		AD	
BDPLT6		AD	
BDPLT7		AR	
BDPLT8		AR	
BDPLT9		AD	
BDSD		AD	
BDVS		AR	
BEAN		AD	
BEAN1		AD	AD
BECTS		Isolated cases	
BED		XLR	
BEFAHRS		AR,AD	
BEK		AD	
BENTA		AD;AR	
BERHS		AD;AR	
BESC1		AD	
BESC2		AD;AR	
BESC3		AD	
BF		AD;AR;Digenic dominant	
BF1		AD	
BFH		AD;AR	
BFIC1		AD	
BFIC2		AD	
BFIC3		AD	
BFIS1		AD	
BFIS2		AD	
BFIS3		AD	
BFIS5		AD	
BFLS		XLR	
BFNC2		AD	
BFNIS		AD	
BFNS1		AD	
BFPP		AR	
BFT		AD	
BGLPT		AD;Multifactorial	
BGN		XL;XLR	AD;XL
BH		AR	
BHC110		AD	
BHC80		AD	
BHD		AD;AR	
BHLHB3		AD	
BHLHE41		AD	
BHLHF42		AR	
BHR1		AD	
BICC		AD	
BICC1		AD	AD
BICRA		AD	
BIE		AD;AR,AD	
BIG1		AD	
BIG2		AR	
BIGH3		AD	
BIGM103		AR	
BILAPES		AR	
BILIQTL1		AR;AR,AD	
BILU		AD	
BIMP1		AR	
BIMP2		AD	
BIMP3		AD;AR	
BIR		AD;AR,AD	
BIRC4		XLR	
BIS		AD	
BIT1		AR	
BJS		AR	
BLAUS		AD;Multifactorial	
BLCPMG		AR	
BLOC1S5		AR	AR
BLOC1S6		AR	AR
BLOS3		AR	
BLOS5		AR	
BLOS6		AR	
BLTP1		AR	
BLU		AR	
BLVRA		AR,AD	AD
BMD		XL;XLR	
BMFDMS		AR	
BMFS1		AD	
BMFS2		AR	
BMFS3		AR	
BMFS4		AR	
BMFS5		AD;AD,Somatic mutation;Somatic mutation	
BMFS6		AD	
BMFS7		Digenic recessive	
BMIQ12		AR	
BMIQ14		AR	
BMIQ18		AD	
BMIQ19		AR	
BMIQ20		AR,AD	
BMKS		AR	
BMND1		AD;AR;AR,AD	
BMND15		AR,AD	
BMND16		AR	
BMND18		XLD	
BMND7		AD	
BMND8		AD	
BMP11		AD	
BMP2A		AD;AR	
BMP2B		AD	
BMP2B1		AD	
BMP6		AD	AD
BMP9		AD	
BMS1		AD	AD
BMS1L		AD	
BNAH2		AR	
BNAR		AD;AR	
BNC1		AD	AD
BNC2		AD	AD;AR
BNHS		AR	
BNMD17		AD	
BOCA		AR	
BOFS		AD	
BOMOS		AR	
BOPS		AD	
BOR		AD	
BOS1		AD	
BOS2		AD	
BOS3		AD	
BPAD		AD	
BPAG1		AR	
BPAG2		AD;AR	
BPES		AD;AR,AD	
BPES1		AD;AR,AD	
BPIDS		AR	
BPP		XLD	
BPPR		AR	
BPPV		AD	
BPS2		AR	
BPTF		AD	AD
BR140		AD	
BRAM1		AD	
BRCACOX		AR	
BRDCS1		AD	
BRDCS2		AR	
BRDT		AR	
BRENS		AR	
BRG1		AD	
BRGDA5		AD;AR	
BRGDA7		AD	
BRGDA8		AD	
BRGDA9		AD	
BRI		AD	
BRIC		AD;AR	
BRIC2		AR	
BRKS1		AR	
BRKS2		AR	
BRMUTD		AD	
BRN3A		AD	
BRN3C		AD	
BRNRS		XLR	
BROVCA1		AR;Multifactorial,AD	
BROVCA2		AD;AD,Somatic mutation;AR;AR,AD,Somatic mutation	
BROVCA3		AR	
BRP17		AD	
BRP44L		AR	
BRPS		AD	
BRRN1		AR	
BRSS		AD	
BRUNOL3		AD	
BRUWAG		AR	
BRWD2		AD;AR	
BRWS1		AD	
BRWS2		AD	
BRYLIB1		AD	
BRYLIB2		AD	
BS		AR	
BS69		AD	
BSAS		AR	
BSCL		AR	
BSCL1		AR	
BSCL3		AD;AR	
BSEP		AR	
BSF2		AD;AR;Multifactorial;Somatic mutation	
BSF3		AR	
BSS		AD;AR	
BSSL		AD	
BSSP3		AR	
BSVD		AD	
BSVD1		AD	
BSVD2		AD	
BSVD3		AR	
BTAK		AD,Somatic mutation	
BTBD12		AR	
BTBD14B		AD	
BTDD		AD	
BTG4		AR	AR
BTHLM1		AR;AR,AD	
BTHLM2		AD;AR	
BTHS		XLR	
BTL		AD,Somatic mutation	
BTNL2		AD	
BTOP		AD;AR	
BTPS2		AD	
BTR1		AR	
BTRC2		AD	
BTRCP2		AD	
BTS		AR	
BUB1		AR	AD
BUBR1		AD;AR	
BUG		AR	
BULN		Multifactorial	
BUP1		AR	
BURHAS		AD	
BV8		AD	
BVSYS		AR	
BVVLS1		AR	
BVVLS2		AR	
BWCNS		AR	
BWS		AD;AD,Somatic mutation	
BZX		XLD	
C10		AR	
C10DUPq24		AD	
C10orf11		AR	
C10orf2		AD;AR	
C10orf4		AR	
C10orf6		AR	
C10orf61		AR	
C10orf79		AD;AR	
C10q26DEL		AD	
C11DELp13		AD;AD,Somatic mutation	
C11DELp15p14		AR	
C11DELq13		AD	
C11DUPq12		AD	
C11orf25		AD	
C11orf70		AR	
C11orf73		AR	
C11orf80		AR	
C11orf83		AR	
C11orf9		AD	
C128		AD;AR	
C12orf58		AR	
C12orf62		AR	
C12orf64		AR	
C12orf65		AR	
C13DELq13.31		AD	
C13DELq14		AD,Isolated cases	
C13DELq32		AD	
C13DELq33q34		AD	
C13orf31		AR	
C13orf8		AD	
C14DELq11q22		Isolated cases	
C14DELq22		AD	
C14DUPq32		AD	
C14orf101		AR	
C14orf104		AR	
C14orf109		AR	
C14orf133		AR	
C14orf142		AR	
C14orf160		AR	
C14orf168		AR	
C14orf173		AD	
C14orf179		AR	
C14orf39		AR	
C14orf4		AD	
C14orf58		AR	
C14orf75		AR	
C14orf87		AR	
C15DELq11.2		AD	
C15DELq14		AD	
C15DELq15.3		AR	
C15DELq25		AD	
C15DELq26qter		Isolated cases	
C15DUPq		AD	
C15orf23		Digenic recessive	
C15orf41		AR	
C15orf43		AR	
C15orf57		AR	
C16DELp12.1p11.2		Isolated cases	
C16DELq22		Isolated cases	
C16DUPq12		AD	
C16DUPq13.3		AD,Isolated cases	
C16orf25		AD	
C16orf49		AR	
C16orf57		AR	
C16orf62		AR	
C16orf84		AR	
C17DELp13.1		AD	
C17DELp13.3		AD	
C17DELq11.2		AD	
C17DELq12		AD	
C17DELq23.1q23.2		Isolated cases	
C17DUPp13.3		AD	
C17DUPq11.2		AD,Isolated cases	
C17DUPq12		AD	
C17DUPq23.1q23.2		AD	
C17orf32		AR	
C17orf62		AR	
C17orf68		AR	
C17orf71		AR	
C17orf89		AR	
C17orf95		AR	
C18DELp		AD	
C18orf32		AR	
C18orf6		AD	
C19DELq13.11d		AD	
C19DELq13.11p		AD	
C19L1		AR	
C19orf14		AR	
C19orf3		AD	
C19orf32		AR	
C19orf46		AR	
C19orf61		AR	
C19orf63		AR	
C19orf70		AR	
C19orf79		AR	
C1DELp35		AD	
C1DELp36		AD;Isolated cases	
C1DELq21		AD,Isolated cases	
C1DELq21.1		AR	
C1DELq41q42		Isolated cases	
C1DUPp31.3		Isolated cases	
C1DUPp36.33		AD	
C1DUPq21		AD,Isolated cases	
C1NH		AD;AR,AD	
C1orf106		AD	
C1orf12		AD	
C1orf124		AR	
C1orf160		AR	
C1orf163		AR	
C1orf172		AD	
C1orf19		AR	
C1orf22		AR	
C1orf222		AR	
C1orf28		AD	
C1orf31		AR	
C1orf36		AR	
C1orf4		AD	
C1orf69		AR	
C1orf70		AD	
C1QBP		AR	AR
C1QG		AR	
C1S		AD	AD;AR
C20orf116		AR	
C20orf13		AR	
C20orf14		AD	
C20orf140		AR	
C20orf142		AR	
C20orf155		AR	
C20orf18		AR	
C20orf19		AR	
C20orf24		AR	
C20orf37		AR	
C20orf41		AD;AR,AD	
C20orf42		AR	
C20orf54		AR	
C20orf59		AD	
C20orf7		AR	
C20orf72		AR	
C21		AD	
C21DELq22		AD	
C21orf2		AR	
C21orf29		AR	
C21orf59		AR	
C21orf60		AR	
C21orf61		AR	
C22DELq11.2		AD	
C22DUPq13		Isolated cases	
C22orf25		AR	
C2CD3		AR	AR
C2CD6		AR	
C2DELp161-p15		Isolated cases	
C2DELp21		AR	
C2DELq37		AD	
C2DUPq31.1		AD	
C2DUPq35		AD	
C2F		AR	
C2orf21		AR	
C2orf23		AD;AR	
C2orf25		AR	
C2orf33		AR	
C2orf39		AR	
C2orf62		AR	
C2orf64		AR	
C2orf65		AR	
C2orf69		AR	
C2orf71		AR	
C2orf86		AR	
C2TA		AR	
C3DELpterp25		AD	
C3DELq22q24		Isolated cases	
C3DR		AR	
C3HEXS		AD	
C3orf1		AR	
C3orf15		AR	
C3orf17		AR	
C3orf29		AD	
C3orf34		AR	
C3orf39		AR	
C3orf5		AR	
C3orf52		AR	
C3orf6		AD	
C3orf64		AR	
C3orf9		AD;AR	
C4AD		AR	
C4DELq21		Isolated cases	
C4orf1		AR	
C4orf20		AD;AR	
C4orf24		AR	
C4orf25		AR	
C4orf26		AR	
C4orf31		AD	
C4orf41		AR	
C4S		AR	
C4ST1		AR	
C4TRIPq32.1q32.2		AD	
C5D		AD;AR	
C5DELq12		AD	
C5DELq14.3		AD	
C5DUPp13		Isolated cases	
C5orf14		AR	
C5orf19		AR,AD	
C5orf33		AR	
C5orf42		AR	
C5orf7		AD	
C6DELpter		Isolated cases	
C6DELq11q14		Isolated cases	
C6DELq25q25		AD	
C6orf117		AD	
C6orf126		AR	
C6orf142		AR	
C6orf149		AR	
C6orf152		AR	
C6orf175		AR	
C6orf204		AD	
C6orf210		AR	
C6orf221		AR	
C6orf25		AR	
C6orf29		AD	
C6orf32		AD;AR	
C6orf37		AR	
C6orf4		AR	
C6orf5		AR	
C6orf59		AR	
C6orf6		AR	
C6orf66		AR	
C6orf68		AD;AR	
C6orf70		AD	
C6ST		AR	
C6ST1		AR	
C7DELq11		AD	
C7DUPq11.23		AD	
C7orf10		AR	
C7orf11		AR	
C7orf14		AR	
C7orf2		AD;AR	
C7orf20		AR	
C7orf22		AD	
C7orf27		AR	
C7orf43		AR	
C7orf63		AR	
C8A		AR	AR
C8B		AR	AR
C8DELq12q21		AD	
C8DELq13		AD	
C8DELq21.11		AD,Isolated cases	
C8DELq22.1		AD	
C8DUPq22.1		AD	
C8orf2		AR	
C8orf38		AR	
C8orf41		AR	
C9		AD	
C9D		AD	
C9DELp		AD	
C9DELp24.3		Isolated cases	
C9DUPq21.11		AD	
C9orf154		AD;AR	
C9orf3		AR	
C9orf4		AR	
C9orf75		AR	
C9orf84		AR	
CA21H		AR	
CA5A		AR	AR
CA5AD		AR	
CAA		AD	
CAAHD		AR	
CAASDS		AD	
CAB2		AR	
CABAC		AR	
CABC1		AR	
CAC		AR	
CACA		AD	
CACD1		AD;AR;AR,AD	
CACD2		AD;AR,AD;AR,Digenic dominant,AD	
CACH		AR	
CACNA1B		AR	AD;AR
CACNA1D		AD;AR	AD;AR
CACNA1E		AD	AD
CACNA1I		AD	AD
CACNA2		AR	
CACNA2D1		AR	AD
CACNA2D2		AR	AR
CACNB4		AD	AD
CACNG2		AD	AD
CACNL1A1		AD	
CACNL1A2		AD;AR	
CACNL1A3		AD;AR,AD	
CACNL1A4		AD	
CACNL1A5		AR	
CACNL1A6		AD	
CACNL2A		AR	
CACP		AR	
CACT		AR	
CAD		AR	AR
CAD11		AD;AR	
CADASIL1		AD	
CADASIL2		AD;AR	
CADEDS		AD;AR	
CADM3		AD	AD
CAE1		AD	
CAE3		AD	
CAFD1		AD	
CAFD2		AD,Somatic mosaicism	
CAFDADD		AD	
CAFS		AD	
CAFYD		AD	
CAGH44		AD	
CAGS		AD	
CAGSSS		AR	
CAHH		AR	
CAID		AR	
CAIN		AR	
CAKUHED		AD	
CAKUT1		AD;AR	
CAKUT2		AD	
CAKUT3		AD	
CALCR		AD	
CALCRL		AR	
CALLA		AD;AR,AD	
CALM1		AD	AD
CALM2		AD	AD
CALM3		AD	AD
CALNA		AD	
CALS		AR	
CAM		AD	
CAMK2B		AD	AD
CAMK2G		AD	AD
CAMKA		AD;AR	
CAMKG		AD	
CAML1		XLR	
CAMLG		AR	
CAMPD1		AD	
CAMRQ1		AR	
CAMRQ2		AR	
CAMRQ3		AR	
CAMRQ4		AR	
CAMTA1		AD	AD
CAN		AR	
CANDF1		AD	
CANDF2		AR	
CANDF3		AD	
CANDF4		AR	
CANDF7		AD;AR	
CANDF8		AR	
CANDF9		AR	
CANDN1		AD	
CANP3		AD;AR	
CANTU		AD;AR	
CANVAS		AR	
CAON		AR	
CAP		AD	
CAP1		AD	
CAP2		AR	AD
CAPB		AR	
CAPD3		AR	
CAPG2		AR	
CAPH		AR	
CAPN15		AR	
CAPN5		AD	AD
CAPOK		AD;AR	
CAPON		AR	
CAPOS		AD	
CAPR		AR	
CAR		AD;AR,AD	
CARASIL		AD;AR	
CARD10		AR	
CARD11		AD;AR	AD;AR
CARD12		AD	
CARD15		AD;Multifactorial	
CARD7		AD;AR;AR,AD	
CARD8		AD	
CARDAR		AR	
CARKD		AR	
CARKL		AR	
CARMA1		AD;AR	
CARMA2		AD	
CARMA3		AR	
CARMIL2		AR	AR
CARP		AR	
CARS		AR	
CARS1		AR	
CART		AR,AD,Multifactorial	
CART1		AR	
CARTPT		AR,AD,Multifactorial	AD
CAS2		AR	
CASC5		AR	
CASGID		AD;AR	
CASIL		AD	
CASP		AR	
CASP14		AR	AR
CASP8		AD,Somatic mutation;AR	AR
CASPR		AR	
CASPR2		AR	
CASQ1		AD	AD
CAST		AR	AR
CASVDD		AR	
CAT1		AR	
CATC2		AR	
CATC4		AR	
CATC5		AR	
CATCN1		AR	
CATCN2		AR,AD	
CATCN3		AR,AD	
CATF1		AR	
CATIFA		AR	
CATIP		AR	
CATL		AR	
CATLPH		AR	
CATMANS		AR	
CATSPER		AR	
CAVIPMR		AR	
CBARA1		AR	
CBAS1		AR	
CBAS2		AR	
CBAS3		AR	
CBAS4		AR	
CBAS5		AR	
CBAS6		AR	
CBAVDX		XL	
CBBM		XL;XLR	
CBD		XL;XLR	
CBFA1		AD	
CBFA2		AD;AD,Somatic mutation	
CBFB		AD	
CBG		AR,AD	
CBL2		AD;AD,Somatic mutation	
CBP		AD;XL;XLR	
CBP1		AR;Multifactorial	
CBP2		AR;Multifactorial	
CBPS		XLD	
CBT		AD	
CBX2		AR	AD;AR;sD
CCA		AD	
CCA1		AD	
CCA2		AD	
CCA3		AD	
CCA4		AD	
CCA5		AD	
CCAFCA		AR	
CCAL1		AD	
CCAL2		AD	
CCCAP		AR	
CCCSX		XLR	
CCD		AD	
CCDC100		AR	
CCDC103		AR	AD;AR
CCDC108		AR	
CCDC11		AR	
CCDC111		AD	
CCDC114		AR	
CCDC115		AR	AR
CCDC128		AR	
CCDC132		AR	
CCDC134		AR	AR
CCDC151		AR	
CCDC164		AR	
CCDC174		AR	AR
CCDC19		AR	
CCDC2		AR	
CCDC22		XLR	AR;XL
CCDC23		AR	
CCDC28B		AR,Digenic recessive	AR
CCDC32		AR	AD
CCDC34		AR	
CCDC41		AR	
CCDC44		AR	
CCDC46		AR	
CCDC47		AR	
CCDC55		AR	
CCDC56		AR	
CCDC62		AR	
CCDC65		AR	AD;AR
CCDC78		AD	AD
CCDC79		AR	
CCDC84		AR	
CCDC88A		AR	AR
CCDD		AD	
CCDS1		XLR	
CCDS2		AR	
CCDS3		AD;AR	
CCF		AD	
CCFDN		AR	
CCG1		XLR	
CCHL1A1		AD	
CCHL1A2		AD;AR	
CCHL1A3		AD;AR,AD	
CCHLND		AD;AR	
CCHS		AD	
CCHS2		AR	
CCHS3		AR	
CCL		AD	
CCL11		AD	
CCL2		AD	AD
CCM1		AD	
CCM3		AD	
CCMD		AR	
CCMS		AD	
CCND1		AD;AD,Somatic mutation;Somatic mutation	
CCND2		AD	AD
CCNK		AD	AD
