genes	HGMD_inheritance	OMIM_inheritance	GeneCC_inheritance
ARHGEF10	AD	AD	AD
ARHGEF12	AD		
ARHGEF6	XLR		AD;XL;XLR
ARHGEF9	XLR	XL	XL
ARID1A	AD	AD	AD
ARID1B	AD	AD	AD
ARL13B	AR	AR	AR
ARL2BP	AR	AR	AD;AR
ARL6	AR	AR;AR,Digenic recessive	AD;AR
ARMC5	AD	AD,Somatic mutation	AD
ARMC9	AR	AR	AR
ARSA	AR	AR	AR
ARSB	AR	AR	AR
ARSL	XLR	XLR	XL;XLR
ARV1	AR	AR	AR
ARX	XLD	XL;XLR	AD;XL;XLR
ASAH1	AR	AR	AR
ASB10	AD	AD	
ASCL1	AD		AD
ASL	AR	AR	AR
ASMT	AD		
ASNS	AR	AR	AR
ASPA	AR	AR	AR
ASPM	AR	AR	AR
ASS1	AR	AR	AR
ASTN2	AR		AD
ASXL1	AD	AD	AD
ASXL3	AD	AD	AD
ATAD3A	AD	AR;AR,AD	AR;sD
ATCAY	AR	AR	AR
ATF6	AR	AR	AD;AR
ATIC	AR	AR	AR
ATL1	AD	AD	AD;sD
ATM	ADAR	AD,Somatic mutation;AR	AD;AR
ATN1	AD	AD	AD
ATP13A2	AR	AR	AR
ATP13A3	AD	AR	sD
ATP1A2	AD	AD;AR	AD
ATP1A3	AD	AD	AD
ATP2A1	AR	AR	AD;AR
ATP2A2	AD	AD	AD
atp2a2b	AD		
ATP2B2	AR	AD;AR	AD
ATP2C1	AD	AD	AD
ATP6AP1	XLR	XLR	AR;XL
ATP6AP2	XLR	XLR	AR;XL;XLR
ATP6V0A2	AR	AR	AR
ATP6V0A4	AR	AR	AR
ATP6V1B1	AR	AR	AR
ATP7A	XLR	XLR	AD;XL;XLR
ATP7B	AR	AR	AR
ATP8A2	AR	AR	AR
ATP8B1	AR	AD;AR	AR
ATPAF2	AR	AR	AR
ATR	AR	AD;AR	AD;AR
ATRIP	AR		AR
ATRX	XLD	XLD;XLR	XL;XLR
ATXN1	AD	AD	AD
ATXN10	AD	AD	AD
ATXN2	AD	AD;Multifactorial,AD	AD
ATXN3	AD	AD	AD
ATXN7	AD	AD	AD
ATXN8	AD	AD	
ATXN8OS	AD	AD;Multifactorial,AD	
AUH	AR	AR	AR
AUTS2	AD	AD	AD
AVIL	AR	AR	
AVP	AD	AD	AD
AVPR2	XLR	XLR	AD;XL
AXIN1	AD		AD
AXIN2	AD	AD	AD
AZF1	YL		
B2M	ADAR	AD;AR	AD;AR
B3GALNT1	ADAR		
B3GALNT2	AR	AR	AR
B3GALT6	AR	AR	AR
B3GAT3	AR	AR	AD;AR
B3GLCT	AR	AR	AR
B4GALNT1	AR	AR	AR
B4GALT1	AR	AR	AR
B4GALT7	AR	AR	AR
B9D2	AR	AR	AR
BAAT	AR	AR	AR
BAG3	AD	AD	AD
BANF1	AR	AR	AR
BAP1	AD	AD	AD
BARD1	AD	AD,Somatic mutation	AD
BBS1	AR	AR,Digenic recessive	AR
BBS10	AR	AR	AR
BBS12	AR	AR	AR
BBS2	AR	AR	AD;AR
BBS4	AR	AR	AR
BBS5	AR	AR	AR
BBS7	AR	AR	AR
BBS9	AR	AR	AR
BCAM	ADAR	AR	
BCHE	AR	AR	AR
BCKDHA	AR	AR	AR
BCKDHB	AR	AR	AR
BCL11A	AD	AD	AD
BCOR	XLD	XLD	XL;XLD
BCS1L	AR	AR	AR
BDNF	ADAR		
BEST1	ADAR	AD	AD;AR
BFSP1	ADAR	AR,AD	AD;sD
BFSP2	ADAR	AD	AD
BHLHA9	ADAR	AR	AD;AR
BICD2	AD	AD	AD
BIN1	ADAR	AR	AD;AR;sD
bin1ms	AR		
BLK	AD	AD	AD
BLM	AR	AR	AR
BLNK	AR	AR	AD;AR
BLOC1S3	AR	AR	AR
BMP1	AR	AR	AD;AR
BMP15	XLD	XL	AD
BMP2	AD	AD;AR	AD
BMP4	AD	AD	AD;AR
BMPER	AR	AR	AR
BMPR1A	AD	AD	AD
BMPR1B	ADAR	AD;AR	AD;AR
BMPR2	AD	AD	AD
BOLA3	AR	AR	AR
BPGM	AR	AR	AR
BPNT2	AR	AR	AR
BRAF	AD	AD	AD
BRAT1	AR	AR	AR
BRCA1	AD	AR;Multifactorial,AD	AD;AR
BRCA2	ADAR	AD;AD,Somatic mutation;AR;AR,AD,Somatic mutation	AD;AR
BRF1	ADAR	AR	AD;AR
BRIP1	AD	AD,Somatic mutation	AD;AR
BRPF1	AD	AD	AD
BRWD3	XLR	XLR	AD;XL;XLR
BSCL2	ADAR	AD;AR	AD;AR
BSND	AR	AR	AR
BTD	AR	AR	AR
BTK	XLR	XLR	XL
BUB1B	AR	AD;AR	AD;AR
BVES	AR	AR	AR
C12orf4	AR	AR	
C12orf57	AR	AR	AR
C19orf12	AR	AR;AR,AD	AD;AR;sD
C1QA	AR	AR	AR
C1QB	AR	AR	AR
C1QC	AR	AR	AR
C1QTNF5	AD	AD	AD
C1R	AR	AD	AD
C2	AR	AR;Digenic dominant	
C22orf31	AR		
C3	ADAR	AD;AR	AR
C4A	AR	AR	AR
C4B	AR		AR
C5	AR	AD;AR	
C6	AR	AR	
C7	AR		AR
C8orf37	AR	AR	
C9orf72	AD	AD	AD
CA12	AD	AR	AR
CA2	AR	AR	AR
CA4	AD		AD
CA8	AR	AR	AR
CABIN1	AD		AD
CABP2	AR	AR	AR
CABP4	AR	AR	AD;AR
CACNA1A	AD	AD	AD
CACNA1C	AD	AD	AD
CACNA1F	XLR	XL;XLR	AD;XL
CACNA1G	AD	AD	AD;AR
CACNA1H	AD	AD	AD
CACNA1S	AD	AD;AR,AD	AD;AR
CACNA2D4	AR	AR	AD;AR
CACNB2	AD	AD	AD
CALR3	AD		AD
CAMK2A	AD	AD;AR	AD;AR
CANT1	AR	AR	AR
CAPN1	AR	AR	AR
CAPN12	AR		AR
CAPN3	AR	AD;AR	AR;sD
CAPS	AR		
CARD14	AD	AD	AD
CARD9	AR	AR	AR
CARS2	AR	AR	AR
CASK	XLD	XLD	AD;XL;XLD;XLR
CASP10	AD	AD	AD
CASQ2	AR	AR	AD;AR
CASR	AD	AD;AR,AD	AD;AR
CAT	ADAR		AR
CATSPER1	AR	AR	AR
CAV1	AR	AD;AR	AD;AR
CAV3	AD	AD;Digenic dominant,AD	AD;AR
CAVIN1	AR	AR	AR
CBL	AD	AD;AD,Somatic mutation	AD
CBLIF	AR	AR	AR
CBS	AR	AR	AR
CC2D1A	AR	AR	AR
CC2D2A	AR	AR	AR
CCBE1	AR	AR	AR
CCDC39	AR	AR	AD;AR
CCDC40	AR	AR	AD;AR
CCDC50	AD	AD	AD
CCDC8	AR	AR	AR
CCDC82	AR		
CCDC88C	AR	AD;AR	AD;AR
CCM2	AD	AD	AD
CCN6	AR	AR	AR
CCNF	AD	AD	AD
CCNQ	XLD	XLD	XL
CCR5	ADAR		
CCT5	AR	AR	AR
CD19	AR	AR	AD;AR
CD320	AR	AR	AR
CD36	AR	AR	AR
CD3D	AR	AR	AR
CD3E	AR	AR	AR
CD3G	AR	AR	AR
CD4	AD	AR	
CD40	AR	AR	AR
CD40LG	XLR	XLR	XL
CD46	AD	AR,AD	AD;sD
CD55	AR	AR	AR
CD79A	AR	AR	AD;AR
CD79B	AR	AR	AD;AR
CD81	AR	AR	AD;AR
CD8A	AR	AR	AR
CD96	AR	AD	AD;AR
CDAN1	AR	AR	AR
CDC45	AR	AR	AD;AR
CDC6	AR	AR	AD;AR
CDC73	AD	AD	AD
CDH1	AD	AD;AD,Somatic mutation	AD
CDH15	AD	AD	AD
CDH23	AR	AD;AR;AR,Digenic recessive	AR
cdh23tv6	ADAR		
CDH3	AR	AD;AR	AR
CDHR1	AR	AR	AD;AR
CDK13	AD	AD	AD
CDK5RAP2	AR	AR	AR
CDKL5	XLD	XLD	AD;XL;XLD
CDKN1B	AD	AD	AD;AR
CDKN1C	AD	AD	AD;ADm
CDKN2A	AD	AD	AD
CDSN	ADAR	AD;AR	AD;AR
CDT1	AR	AR	AD;AR
CEACAM16	AD	AD;AR	AD;AR
CEBPA	AD	AD,Somatic mutation	AD
CEBPE	AR	AR;AR,AD	AR
